"x","y"
479,519
478,521
480,523
482,522
480,522
479,524
480,523
482,524
480,523
480,522
480,522
480,520
481,521
480,523
480,520
480,523
479,520
479,522
480,524
481,522
478,521
480,520
481,522
480,520
479,521
480,522
480,520
483,520
484,521
480,518
480,520
480,522
480,520
480,523
481,524
480,520
480,523
483,521
481,523
480,522
481,524
479,522
479,524
481,523
482,521
486,521
484,521
484,523
485,522
483,520
484,521
481,518
481,517
479,517
477,516
477,513
476,512
478,510
476,511
476,509
476,510
478,512
477,511
476,510
476,512
475,511
476,510
476,512
478,512
475,511
478,512
476,512
477,510
477,508
477,511
477,514
478,512
477,513
478,510
476,510
477,512
479,514
479,512
477,511
477,510
479,508
482,508
480,508
480,508
482,509
481,508
481,510
481,510
481,509
482,508
482,510
483,512
483,512
484,511
483,512
486,512
485,513
485,514
487,514
489,515
487,515
487,513
485,514
486,515
484,513
485,513
487,514
489,515
491,513
488,510
490,512
491,513
489,515
489,513
487,515
488,516
489,515
490,513
490,515
489,517
489,518
489,517
491,519
490,520
492,522
492,521
489,522
489,522
489,525
490,523
490,523
492,521
491,522
489,522
489,525
487,526
489,525
490,527
492,529
492,532
490,532
490,534
488,532
488,530
488,532
488,533
486,533
487,531
486,533
485,531
486,533
485,531
482,531
482,528
484,527
484,529
483,530
481,529
483,531
482,530
484,529
485,529
483,531
483,530
485,533
488,532
490,532
492,529
492,528
492,530
489,533
490,533
488,532
490,533
488,533
489,532
491,531
489,533
490,531
487,531
486,533
485,532
481,528
480,528
478,530
478,531
480,533
479,534
478,532
479,533
477,533
477,531
476,529
475,527
475,529
475,529
477,528
478,530
478,527
478,525
480,523
481,520
480,523
479,521
481,519
480,521
478,519
481,522
479,522
480,520
483,520
484,522
486,521
484,522
486,521
486,522
484,520
484,522
483,524
483,523
483,524
482,525
480,523
481,520
480,522
480,520
481,521
478,521
479,521
481,521
483,521
482,522
480,523
480,525
482,527
482,530
482,530
481,529
482,530
481,529
479,527
479,529
479,530
480,527
482,528
483,530
482,528
482,531
484,530
485,532
487,531
490,532
489,530
486,533
487,534
487,531
485,532
486,533
488,531
485,529
485,528
487,531
489,533
491,535
490,536
491,534
490,533
489,532
487,530
485,528
483,528
483,530
481,529
482,530
483,529
483,529
484,530
485,532
485,534
486,532
488,532
485,532
485,534
486,533
485,532
487,531
485,532
482,529
484,530
483,531
487,531
489,532
489,532
490,533
489,532
491,534
491,535
490,535
491,536
491,534
489,532
487,531
489,532
487,531
484,534
486,533
485,532
486,533
487,531
488,532
485,532
487,531
484,533
484,536
483,538
482,539
483,538
482,539
482,537
481,537
480,535
481,535
484,535
485,535
485,532
486,533
485,532
485,533
485,531
482,531
485,531
486,533
487,531
489,530
489,532
487,530
485,528
487,526
489,525
488,523
490,523
492,521
491,521
493,521
492,522
490,521
489,522
490,523
489,525
489,526
486,526
486,526
489,526
489,526
488,523
489,523
491,525
